score,trad_count,world_count,trad_surprise,world_surprise
117,6738528470417086,2207051522130810,9.731081,9.47289946151973
118,5864552560171552,1981129914883315,9.931494,9.628696280550297
119,5093653838062639,1776098207280280,10.134814,9.78630841423976
120,4415377510495980,1590324559115145,10.340978,9.945698544360306
121,3820097597373727,1422245289812010,10.549905,10.106849467146931
122,3298981687014508,1270367906237890,10.761494,10.269773399544807
123,2843905747206868,1133280782366540,10.975641,10.434514421788416
124,2447444695948898,1009666167227130,11.192239,10.601141406502565
125,2102793053565659,898312049098324,11.411208,10.769731180233508
126,1803790254604935,798118306584825,11.632483,10.94034524945009
127,1544848145184291,708093859220590,11.856050,11.113007260139565
128,1320992367181792,627344542961095,12.081893,11.287689864082
129,1127775864826813,555056550996240,12.310035,11.464313099670656
130,961294388171457,490479529459266,12.540465,11.642754939448606
131,818085023387881,432912437384680,12.773192,11.822872616019268
132,695128788327698,381694130477375,13.008163,12.004530863560285
133,589753122859383,336199390618620,13.245332,12.18763075555553
134,499630252931260,295839903993625,13.484582,12.37213120349203
135,422696870992462,260068624420566,13.725820,12.558055507107898
136,357151976811922,228385209907195,13.968905,12.745478639523903
137,301400973036441,200339988923560,14.213759,12.934497445690667
138,254052574077937,175534435457010,14.460316,13.125193786256878
139,213889601295347,153617687340420,14.708577,13.31760352951104
140,179862464456172,134280575449174,14.958549,13.511697240440448
141,151065169242834,117248552344640,15.210272,13.707377755112512
142,126722015973414,102274752682935,15.463776,13.904497816603648
143,106169469752641,89134183607230,15.719074,14.102897138146753
144,88840622360686,77619732640965,15.976152,14.302452496240308
145,74252067274687,67540296613840,16.234940,14.503127444867243
146,61990415093876,58720883516950,16.495326,14.705002284852489
147,51701385089887,51004028108040,16.757168,14.908264769788047
148,43082666091665,44251302626970,17.020264,15.113156035569368
149,35870481552300,38343110315140,17.284574,15.319908589807877
150,29843343433392,33177167222081,17.549962,15.528685250642466
151,24808172866872,28666108631730,17.816556,15.739529885213564
152,20607116162379,24734664812935,18.084229,15.952341610824895
153,17101443169235,21316832602560,18.353253,16.16688287129753
154,14181008701762,18353420191210,18.623411,16.38282702324126
